symbol,cluster_id,squeeze_timestamp,squeeze_score,conditions,adx,h4_trend_bias,d1_trend_bias,h4_ma_slope,d1_ma_slope,anchor_range_pct,breakout_timestamp,breakout_direction,breakout_bar_idx,entry_price,returns_1bar,returns_5bar,returns_10bar,returns_20bar,max_drawdown_pct,max_runup_pct,hit_1r,hit_2r,hit_3r,stop_triggered,stop_after_entry,stop_bar_idx,pnl_5bar,pnl_10bar,pnl_20bar
UK100,UK100_20251209_10,2025-12-09 10:00:00,3,BB+Pivot+SR,33.68294500875365,bearish,neutral,-0.09373900554721452,0.09312559409786039,0.5892995606099768,2025-12-09 20:00:00,down,10,9621.0,0.0,0.0727575096143852,0.44693898763122336,0.6963933063091154,-0.7587568859785885,0.0,False,False,False,True,True,14.0,-0.0727575096143852,-0.44693898763122336,-0.6963933063091154
UK100,UK100_20251209_16,2025-12-09 16:00:00,3,BB+Pivot+SR,26.2038959738798,bearish,neutral,-0.09373900554721452,0.09312559409786039,0.5181615627752734,2025-12-09 20:00:00,down,4,9621.0,0.0,0.0727575096143852,0.44693898763122336,0.6963933063091154,-0.7587568859785885,0.0,False,False,False,True,True,14.0,-0.0727575096143852,-0.44693898763122336,-0.6963933063091154
UK100,UK100_20251216_09,2025-12-16 09:00:00,3,BB+Pivot+SR,28.054656886668177,bearish,neutral,-0.09373900554721452,0.09312559409786039,0.763554371220662,2025-12-16 13:00:00,down,4,9721.0,0.0,-0.15944861639748997,0.005143503754757741,1.4864725851249871,-1.6767822240510235,0.15944861639748997,False,False,False,True,True,16.0,0.15944861639748997,-0.005143503754757741,-1.4864725851249871
UK100,UK100_20251219_02,2025-12-19 02:00:00,2,ADX<20+ADX<13,12.93850774593421,bearish,neutral,-0.09373900554721452,0.09312559409786039,1.097672527695904,2025-12-19 14:00:00,up,12,9902.0,0.0,0.2928701272470208,0.19188042819632398,-0.3534639466774389,-0.37366188648757825,0.4191072510603918,False,False,False,False,False,,0.2928701272470208,0.19188042819632398,-0.3534639466774389
UK100,UK100_20251219_08,2025-12-19 08:00:00,2,ADX<20+ADX<13,10.370912088060761,bearish,neutral,-0.09373900554721452,0.09312559409786039,1.0945576162967467,2025-12-19 14:00:00,up,6,9902.0,0.0,0.2928701272470208,0.19188042819632398,-0.3534639466774389,-0.37366188648757825,0.4191072510603918,False,False,False,False,False,,0.2928701272470208,0.19188042819632398,-0.3534639466774389
UK100,UK100_20251223_12,2025-12-23 12:00:00,4,BB+Pivot+SR+ADX<20,16.48207293395312,bearish,neutral,-0.09373900554721452,0.09312559409786039,0.5609743771162885,2025-12-23 15:00:00,up,3,9923.5,0.0,-0.22169597420265028,-0.08061671789187283,-0.08565526276011488,-0.36277523051342775,0.0,False,False,False,False,False,,-0.22169597420265028,-0.08061671789187283,-0.08565526276011488
UK100,UK100_20251229_03,2025-12-29 03:00:00,5,BB+Pivot+SR+ADX<20+ADX<13,12.851120242839611,bearish,neutral,-0.09373900554721452,0.09312559409786039,0.4590627049387076,2025-12-30 10:00:00,up,27,9932.0,0.0,0.1661296818364881,0.3725332259363673,0.24667740636327026,0.0,0.38763592428513893,True,False,False,False,False,,0.1661296818364881,0.3725332259363673,0.24667740636327026
UK100,UK100_20251229_09,2025-12-29 09:00:00,4,BB+Pivot+SR+ADX<20,15.680417182895997,bearish,neutral,-0.09373900554721452,0.09312559409786039,0.44938146932592776,2025-12-30 10:00:00,up,21,9932.0,0.0,0.1661296818364881,0.3725332259363673,0.24667740636327026,0.0,0.38763592428513893,True,False,False,False,False,,0.1661296818364881,0.3725332259363673,0.24667740636327026
UK100,UK100_20251229_15,2025-12-29 15:00:00,3,BB+Pivot+SR,20.5115394560202,bearish,neutral,-0.09373900554721452,0.09312559409786039,0.44906402946667345,2025-12-30 10:00:00,up,15,9932.0,0.0,0.1661296818364881,0.3725332259363673,0.24667740636327026,0.0,0.38763592428513893,True,False,False,False,False,,0.1661296818364881,0.3725332259363673,0.24667740636327026
UK100,UK100_20251230_01,2025-12-30 01:00:00,3,BB+Pivot+SR,26.03764253133099,bearish,neutral,-0.09373900554721452,0.09312559409786039,0.44992669733582735,2025-12-30 10:00:00,up,9,9932.0,0.0,0.1661296818364881,0.3725332259363673,0.24667740636327026,0.0,0.38763592428513893,True,False,False,False,False,,0.1661296818364881,0.3725332259363673,0.24667740636327026
