min_score,max_wait,min_atr,require_structural,setups,breakouts,breakout_rate,win_rate_5bar,win_loss_ratio,expectancy,hit_1r,stop_rate,validation,score
3,30,0.25,True,1125,876,0.7786666666666666,0.4897260273972603,1.200831650912963,0.01860108839897795,0.1678082191780822,0.3093607305936073,逻辑需要调整,0.6238994717339613
3,30,0.5,False,1134,685,0.6040564373897708,0.5124087591240876,1.218490507125241,0.03552036130945113,0.17226277372262774,0.27883211678832115,逻辑需要调整,1.1961452004694841
3,30,0.5,True,1125,676,0.6008888888888889,0.507396449704142,1.2250351748746369,0.03365929500233816,0.17455621301775148,0.2781065088757396,逻辑需要调整,1.128967075499206
4,10,0.1,False,576,323,0.5607638888888888,0.5263157894736842,1.0336453752548271,0.016250557749954264,0.1609907120743034,0.14551083591331268,逻辑需要调整,0.39001338599890234
4,10,0.1,True,576,323,0.5607638888888888,0.5263157894736842,1.0336453752548271,0.016250557749954264,0.1609907120743034,0.14551083591331268,逻辑需要调整,0.39001338599890234
4,10,0.25,False,576,232,0.4027777777777778,0.5129310344827587,0.9937417002635706,0.005271940114548845,0.15517241379310345,0.13793103448275862,逻辑需要调整,0.1265265627491723
4,10,0.25,True,576,232,0.4027777777777778,0.5129310344827587,0.9937417002635706,0.005271940114548845,0.15517241379310345,0.13793103448275862,逻辑需要调整,0.1265265627491723
4,10,0.5,False,576,150,0.2604166666666667,0.4266666666666667,1.106907962911047,-0.027970143675613096,0.14,0.12,暂不建议进入实盘,-0.6712834482147143
4,10,0.5,True,576,150,0.2604166666666667,0.4266666666666667,1.106907962911047,-0.027970143675613096,0.14,0.12,暂不建议进入实盘,-0.6712834482147143
4,15,0.1,False,576,401,0.6961805555555556,0.5336658354114713,0.9721283318089139,0.012987183493087848,0.16458852867830423,0.18204488778054864,逻辑需要调整,0.31169240383410834
4,15,0.1,True,576,401,0.6961805555555556,0.5336658354114713,0.9721283318089139,0.012987183493087848,0.16458852867830423,0.18204488778054864,逻辑需要调整,0.31169240383410834
4,15,0.25,False,576,307,0.5329861111111112,0.5146579804560261,0.9818922064455287,0.005049605120575021,0.16612377850162866,0.1758957654723127,逻辑需要调整,0.1211905228938005
4,15,0.25,True,576,307,0.5329861111111112,0.5146579804560261,0.9818922064455287,0.005049605120575021,0.16612377850162866,0.1758957654723127,逻辑需要调整,0.1211905228938005
4,15,0.5,False,576,217,0.3767361111111111,0.4700460829493088,1.1065368168708205,-0.002617598307320723,0.16129032258064516,0.16129032258064516,暂不建议进入实盘,-0.06282235937569736
